date,exchange_rate
2009-01-02,0
2009-10-05,0.000764
2010-03-17,0.003
2010-07-17,0.05
2010-10-06,0.06
2010-12-13,0.22
2011-01-03,0.3
2011-01-08,0.31
2011-01-09,0.32
2011-02-14,1.02
2011-06-08,29.6
2011-11-18,2.05
2012-01-01,6.18
2012-01-11,7.1
2012-06-01,5.27
2012-11-28,12.56
2013-01-01,13.3
2013-04-01,90.0
2013-11-29,1137.0
2014-01-01,770.0
2014-06-01,629.0
2015-01-01,315.0
2015-10-26,300.0
2016-01-01,430.89
2016-07-09,650.0
2017-01-01,998.0
2017-06-01,2400.0
2017-12-17,19666.0
2018-01-01,13657.2
2018-12-15,3236.0
2019-01-01,3693.0
2019-07-10,12099.0
2020-01-01,7200.0
2020-03-13,4970.0
2020-12-01,19700.0
2021-01-01,29250.0
2021-04-14,64895.0
2021-11-10,68789.6
2022-01-01,46306.0
2022-06-18,17749.0
